telnet@STP_A#show ipv6 route 
IPv6 Routing Table - 400 entries:
"Type Codes:  C - Connected, S - Static, R - RIP, O - OSPF, B - BGP, I - ISIS"
Type IPv6 Prefix                Next Hop Router           Interface  Dis/Metric
O1 2402:f000:1:6a01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:6a81::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:6b01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:6bc1::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:6e01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:6ff9::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:7001::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:7201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:7401::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:7501::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O  2402:f000:1:7601::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:1:7681::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:1:7701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:7800::/56        fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O1 2402:f000:1:7900::/56        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:1:7c01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:7e01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:7f01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:1:7f81::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:8100::/56        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:a801::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:1:b000::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:b401::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
C  2402:f000:1:b601::/64        ::                        e 3/2       0/0
O1 2402:f000:1:b801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
C  2402:f000:1:be01::/64        ::                        e 3/3       0/0
O1 2402:f000:1:c001::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:1:c401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:c802::/63        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:d000::/56        fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
C  2402:f000:1:d601::/64        ::                        e 3/10      0/0
C  2402:f000:1:d801::/64        ::                        e 3/9       0/0
C  2402:f000:1:db01::/64        ::                        e 3/4       0/0
C  2402:f000:1:de01::/64        ::                        e 3/11      0/0
O1 2402:f000:1:dec1::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:e4c1::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O  2402:f000:1:e601::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:1:f601::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:ffc1::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:5:2001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/3020
O1 2402:f000:5:2201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/3020
O1 2402:f000:5:2901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:2a01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:2b01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:3801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/3000
O1 2402:f000:5:4d01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:5:5001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5301::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5881::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5981::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5a81::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:5c01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:5:6201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6a01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6c01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6d01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6e01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:6f01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
